patterns,themes
"[impact, stream]",['environment']
"[impact, oceans]",['environment']
"[impact, pesticide]",['environment']
"[impact, groundwater]",['environment']
"[impacts? of (?:humanity|men), bio-?geo-?(?:chemi|physi)cal cycle]",['climate']
"[industr(?:y|ies) impact, bio-?geo-?(?:chemi|physi)cal cycle]",['climate']
"[low energy, sustainability]",['energy']
"[material, life cycle analysis]",['sustainability']
"[nuclear, pollu(?:ant|tion), environment]","['energy', 'environment']"
"[plastic, ocean]",['environment']
"[plastic, pollution)]",['environment']
"[pollution, aquifer]",['environment']
"[pollution, stream]",['environment']
"[pollution, ocean]",['environment']
"[pollution, pesticide]",['environment']
"[pollution, groundwater]",['environment']
"[recycl[^ ]+, environment]",['resources']
"[political ecology, environment]",['environment']
"[social economy, ecolog[^ ]+ transition]",['sustainability']
"[social economy, social transition]",['sustainability']
"[solidarity economy, ecolog[^ ]+ transition]",['sustainability']
"[solidarity economy, social transition]",['sustainability']
"[sustainab(?:ility|le), mobility]",['sustainability']
"[sustainable architecture, ecolog[^ ]+, material]",['sustainability']
"[sustainable construction, ecolog[^ ]+, material]",['sustainability']
"[sustainable development, environment, (?:ecology|ecosystem)]",['sustainability']
"[sustainable development, (?:environment|ecology)]",['sustainability']
"[sustainable development, impact]",['sustainability']
"[sustainable development, anthropocene]",['sustainability']
"[sustainable development, climate[^ ]+ transition]",['sustainability']
"[sustainable development, energy transition]",['sustainability']
"[sustainable development, environmental law]",['sustainability']
"[sustainable development, environmental right]",['sustainability']
"[sustainable development, environment, (?:ecolog|ecosyst)[^ ]+]",['sustainability']
"[sustainable development, environmental impacts]",['sustainability']
"[sustainable development, environmental disturbance]",['sustainability']
"[sustainable development, environmental problem]",['sustainability']
"[sustainable development, materials, deposit]",['sustainability']
"[sustainable development, social transition]",['sustainability']
"[sustainable development, transition]",['sustainability']
"[sustainable solution, (?:environment|ecology)]",['sustainability']
"[sustainable solution, impact]",['sustainability']
"[sustainability, life cycle assessment]",['sustainability']
actions? (?:for the|to) climate,['climate']
adaptations? (?:for the|to) climate,['climate']
agro-?ecology,['misc']
agro-?forestry,['misc']
agro[- ]?ecolo[^ ]+,['environment']
anthropocene,['environment']
life cycle assessment,['resources']
carbon assessment,['climate']
carbon audit,['climate']
carbon balance,['climate']
carbon cycle,['misc']
carbon footprint,['climate']
ccs,['climate']
circular economy,['sustainability']
climat[^ ]+ challenge,['climate']
climat[^ ]+ change,['climate']
climat[^ ]+ condition,['climate']
climat[^ ]+ context,['climate']
climat[^ ]+ diplomacy,['climate']
climat[^ ]+ forcing,['climate']
climat[^ ]+ impact,['climate']
climat[^ ]+ issue,['climate']
climat[^ ]+ mitigation,['climate']
climat[^ ]+ model,['climate']
climat[^ ]+ physics,['climate']
climat[^ ]+ processus,['climate']
climat[^ ]+ projection,['climate']
climat[^ ]+ sceptic,['climate']
climat[^ ]+ strateg(?:y|ies),['climate']
climat[^ ]+(?: change)? action,['climate']
climat[^ ]+(?: change)? adaptation,['climate']
climat[^ ]+(?: change)? justice,['climate']
climat[^ ]+(?: change)? management,['climate']
climat[^ ]+(?: change)? planning,['sustainability']
climat[^ ]+(?: change)? polic(?:y|ies),['climate']
climat[^ ]+(?: change)? refugee,['climate']
climat[^ ]+(?: change)? resistance,"['climat', 'sustainability']"
climat[^ ]+(?: change)? resilience,"['climat', 'sustainability']"
climat[^ ]+(?: change)? risk,"['climat', 'sustainability']"
climate change management,['sustainability']
climate change planning,['sustainability']
climate change policy,['sustainability']
climate diplomacy,['climate']
climate resistance,['sustainability']
climate risk,['sustainability']
climate sustainability,['sustainability']
collapsology,['sustainability']
collapse theory,['sustainability']
decarbon[^ ]+,"['climate', 'energy']"
deforestation,['resources']
ecolog[^ ]+ economics,['sustainability']
ecolog[^ ]+ material,['resources']
ecolog[^ ]+ transition,['resources']
economy of the commons,['sustainability']
ecosystem[^ ]+ service,['misc']
electric car,['energy']
electric mobility,['energy']
energy assessment,['energy']
energy consumption,['energy']
energy efficiency,['energy']
energy performance,['energy']
energy transition,['sustainability']
energy use,['energy']
energy vector,['energy']
environmental challenge,['environment']
environmental law,['sustainability']
environmental maintenance,['environment']
environmental management,['environment']
environmental protection,['environment']
environmental sustainability,['sustainability']
environmentalist,['environment']
environmentally friendly,['environment']
extraction peak,['resources']
extreme weather condition,"['climate', 'environment']"
extreme weather event,"['climate', 'environment']"
fish (?:depletion|exhaustion),['resources']
fossil fuel,['energy']
geoingenierie,['climate']
geothermal[- ]?(energy|power),['energy']
global (?:average|mean) temperature,"['climate', 'environment']"
global warming,['climate']
green chemestry,['environment']
green energy,['energy']
greenhouse gas(es)?,['climate']
hydro(electric)?[- ]?(energy|power),['energy']
hydrogen car,['energy']
hydrogen mobility,['energy']
low carbon energy,['energy']
low[- ]carbon,['climate']
organic farming,['misc']
overfishing,['resources']
paris agreement,['climate']
peak oil,['resources']
permaculture,['misc']
photovoltaic[- ]?(?:energy|power),['energy']
photovoltaic[- ]?panel),['energy']
regenerative economy,['sustainability']
renewable energy,['energy']
resources? efficiency,['sustainability']
solar[- ]?(?:energy|power),['energy']
stocks? collapse,['resources']
sustainable agglomeration,['sustainability']
sustainable agriculture,['sustainability']
sustainable architecture,"['resources', 'sustainability']"
sustainable city,"['resources', 'sustainability']"
sustainable consumption,['sustainability']
sustainable construction,['resources']
sustainable development,['sustainability']
sustainable development goals,['sustainability']
sustainable fishing,['resources']
sustainable forest,['resources']
sustainable management,['resources']
sustainable operation,['resources']
sustainable practive,['sustainability']
sustainable production,['sustainability']
sustainable transport,['sustainability']
water purification,['misc']
wind[- ]?power(?:energy|power),['energy']
water purification,['misc']
